id,a,b,c
1,0.9,5.79,y
2,0.27,5.92,z
3,0.37,2.56,z
4,0.57,2.76,z
5,0.91,6.99,x
6,0.2,1.33,z
7,0.9,5.25,x
8,0.94,6.18,y
9,0.66,6.61,x
10,0.63,5.02,y
11,0.06,1.37,y
12,0.21,4.19,x
13,0.18,6.47,z
14,0.69,5.97,y
15,0.38,6.66,y
16,0.77,4.66,z
17,0.5,7.77,x
18,0.72,6.78,y
19,0.99,5.36,y
20,0.38,3.83,x
21,0.78,8.49,x
22,0.93,2.21,x
23,0.21,7.46,z
24,0.65,6.16,z
25,0.13,5.28,z
26,0.27,7.2,x
27,0.39,3.85,x
28,0.01,6.44,y
29,0.38,3.07,z
30,0.87,-0.05,z
31,0.34,2.59,z
32,0.48,4.08,x
33,0.6,9.38,z
34,0.49,3.6,x
35,0.19,2.95,z
36,0.83,3.69,x
37,0.67,1.23,x
38,0.79,5.4,x
39,0.11,6.06,x
40,0.72,5.01,z
41,0.41,4.63,y
42,0.82,5.74,y
43,0.65,7.05,x
44,0.78,7.16,x
45,0.55,7.9,y
46,0.53,4.39,x
47,0.79,2.44,y
48,0.02,3.41,y
49,0.48,1.2,z
50,0.73,2.52,z
51,0.69,6.03,z
52,0.48,5.83,x
53,0.86,-0.12,x
54,0.44,3.88,z
55,0.24,6.01,y
56,0.07,8.41,y
57,0.1,7.7,x
58,0.32,4.09,x
59,0.52,8.45,z
60,0.66,1.04,y
61,0.41,7.99,z
62,0.91,6.73,x
63,0.29,4.43,z
64,0.46,9.21,z
65,0.33,5.34,x
66,0.65,5.38,x
67,0.26,6.56,x
68,0.48,1.54,z
69,0.77,3.23,y
70,0.08,4.97,x
71,0.88,6.01,z
72,0.34,4,y
73,0.84,3.61,z
74,0.35,4.44,y
75,0.33,5.17,z
76,0.48,7.5,y
77,0.89,5.92,x
78,0.86,6.53,z
79,0.39,5.78,z
80,0.78,3.91,x
81,0.96,4.06,z
82,0.43,2.79,y
83,0.71,6.57,y
84,0.4,3.7,z
85,0.33,7.15,x
86,0.76,5.72,z
87,0.2,8.83,x
88,0.71,6.11,z
89,0.12,4.58,z
90,0.25,4.18,y
91,0.14,5.24,x
92,0.24,7.15,x
93,0.06,5.08,y
94,0.64,4.68,x
95,0.88,0.43,x
96,0.78,4.35,z
97,0.8,5.15,z
98,0.46,6.58,y
99,0.41,1.71,z
100,0.81,7.47,x
101,0.6,7.06,y
102,0.65,6.87,y
103,0.35,6.19,x
104,0.27,4.39,x
105,0.99,1.1,y
106,0.63,7.37,z
107,0.21,7.34,y
108,0.13,8.2,y
109,0.48,4.88,x
110,0.92,6.43,x
111,0.6,0.6,z
112,0.98,5.04,z
113,0.73,1.96,x
114,0.36,7.7,z
115,0.43,7.11,x
116,0.15,4.36,y
117,0.01,6.63,x
118,0.72,2.69,x
119,0.1,5.11,x
120,0.45,7.42,y
121,0.64,4.52,z
122,0.99,4.9,y
123,0.5,4.72,z
124,0.48,6.23,y
125,0.17,3.04,z
126,0.75,3.26,x
127,0.45,1.23,z
128,0.51,5.76,x
129,0.21,3.91,y
130,0.23,4.53,x
131,0.6,1.7,z
132,0.57,6.58,z
133,0.08,0.93,x
134,0.04,5.8,y
135,0.64,7.89,z
136,0.93,1.49,z
137,0.6,3.12,z
138,0.56,5.65,x
139,0.53,2.6,z
140,0.99,8.4,y
141,0.51,2.49,x
142,0.68,7.47,y
143,0.6,4.13,x
144,0.24,6.45,x
145,0.26,5.77,z
146,0.73,6.55,x
147,0.45,0.68,z
148,0.18,2.78,z
149,0.75,3.45,z
150,0.1,6.84,y
151,0.86,4.03,x
152,0.61,8.84,x
153,0.56,4.99,z
154,0.33,3.9,x
155,0.45,8.78,z
156,0.5,4.99,z
157,0.18,5.25,y
158,0.53,5.39,z
159,0.08,1.82,y
160,0.28,4.23,y
161,0.21,4.83,x
162,0.28,3.59,x
163,0.9,6.03,x
164,0.45,2.3,y
165,0.78,3.3,x
166,0.88,6.12,z
167,0.41,2.25,z
168,0.06,3.22,z
169,0.34,4.36,z
170,0.72,5.15,y
171,0.34,3.87,y
172,0.63,1.48,y
173,0.84,4.77,y
174,0.86,7.42,y
175,0.39,-1.38,y
176,0.38,6.34,x
177,0.9,7.11,x
178,0.64,5.42,x
179,0.74,4.96,z
180,0.61,7.81,y
181,0.9,5.1,x
182,0.29,-0.62,z
183,0.19,6.48,y
