ssyk96,ssyk96_occ_title,tot_earnings_1962,tot_earnings_1963,tot_earnings_1964,tot_earnings_1965,tot_earnings_1966,tot_earnings_1967,tot_earnings_1968,tot_earnings_1969,tot_earnings_1970,tot_earnings_1971,tot_earnings_1972,tot_earnings_1973,tot_earnings_1974,tot_earnings_1975,obs_1962,obs_1963,obs_1964,obs_1965,obs_1966,obs_1967,obs_1968,obs_1969,obs_1970,obs_1971,obs_1972,obs_1973,obs_1974,obs_1975,log_ratio,sum_reasoning_ability,sum_knowledge,share_emp_1962,share_emp_1975,share_earn_1962,share_earn_1975,d_share_emp,d_share_earn,d_share_emp_t,d_share_earn_t,sector,x_plot,y_plot
1110,Legislators and senior government officials,71274,61588,39820,53461,54331,87659,164495,168887,136440,143807,127726,133562,154273,56520,9,9,7,7,7,13,25,26,19,20,18,19,19,7,0.249802075005679,0.657779043496269,0.512010320168638,0.000202488356919477,0.000123585388676047,0.000529743309733096,0.0002804393021134,-7.89029682434297e-05,-0.000249304007619696,-0.027609021679023,-0.087035961378686,"",,
1120,Senior officials of special-interest organisations,51531,59419,61582,49715,50255,47141,55542,90696,103198,65005,41225,71848,49860,41380,12,10,16,10,14,9,13,16,15,13,7,12,8,11,0.26560375101719,0.662695048264291,0.507932067974502,0.000269984475892636,0.000194205610776646,0.000383003654823023,0.000205318087782245,-7.57788651159903e-05,-0.000177685567040778,-0.0265163863194806,-0.0621099589345627,"",,
1210,Directors and chief executives,4461753,4235439,4111614,4022660,4374717,4507140,4127133,4065622,4325196,4263569,4380202,4372590,3929422,3499816,603,571,587,564,622,606,550,568,517,556,532,513,518,451,0.332264291410793,0.682279337001334,0.490080050460969,0.013566719913605,0.00796243004184248,0.0331619356487859,0.0173652858557203,-0.00560428987176249,-0.0157966497930656,-1.09932874270421,-1.39186064774539,Management and sales,0.46,0.83
1221,"Production and operations managers in agriculture, hunting, forestry and fishing",42287,99937,66602,86543,47787,61320,50932,93431,48344,84839,101035,78019,91754,47187,10,19,18,20,9,14,12,18,10,16,19,13,15,13,0.33225759443854,0.67856455920741,0.48523726577296,0.000224987063243863,0.000229515721826945,0.000314297714996821,0.000234131092512827,4.52865858308169e-06,-8.01666224839936e-05,0.00158502917671175,-0.0280509581956755,"",,
1222,Production and operations managers in manufacturing,789211,755805,787122,1102886,1274514,1372814,1427674,1205504,1432078,1611715,1321770,1237038,1110302,983132,167,167,178,232,274,261,281,252,267,288,244,209,200,186,0.301392376628808,0.69371626710152,0.513095783587775,0.00375728395617252,0.00328384032767783,0.00586580305886812,0.00487807593710812,-0.00047344362849469,-0.000987727121759994,-0.164213118832824,-0.332842973272322,"",,
1223,Production and operations managers in construction,567875,488137,483950,550013,620888,716095,604684,904442,759306,969219,1408931,1222607,1087010,943294,121,111,99,122,124,140,122,158,137,175,235,185,191,167,0.300733273008031,0.68984279077175,0.510449492046277,0.00272234346525075,0.00294839427269999,0.00422072539796674,0.00468040890034957,0.00022605080744924,0.000459683502382821,0.0789533173500318,0.15952217157672,"",,
1224,"Prod. and operations managers in wholesale and retail trade, hotels and rest., transport and comm.",582170,657686,874086,1162151,1471109,1530153,1326975,1375606,1494220,1757825,1727225,1723460,1590812,1458205,147,168,209,260,302,326,293,297,332,358,348,343,315,303,0.338744469277723,0.616155237379297,0.441946926038108,0.00330730982968479,0.00534948182412034,0.00432697284602122,0.00723527941504371,0.00204217199443554,0.00290830656902249,0.620563600676384,0.794272123620084,"",,
1225,Production and operations managers in business services enterprises,482642,489057,367604,392201,466933,382381,516967,523165,542340,625760,638302,699134,662859,436441,57,58,61,65,68,60,71,70,84,86,88,90,87,66,0.336921161120305,0.684682041484035,0.489327808334724,0.00128242626049002,0.00116523366465988,0.00358723195690155,0.00216552033711384,-0.000117192595830146,-0.0014217116197877,-0.0409944287903068,-0.461725018503505,"",,
1226,Production and operations managers in public administration,407478,386919,355924,340421,441291,417004,464866,507444,544720,557023,524615,605433,547295,369061,84,82,74,71,86,80,91,97,103,103,96,111,102,72,0.362030422426562,0.66752471457624,0.465915679910164,0.00188989133124845,0.00127116399781077,0.0030285762601148,0.00183119620094256,-0.00061872733343768,-0.00119738005917224,-0.213261566208724,-0.39684825724471,"",,
1227,Production and operations managers in education,348181,363427,299225,322513,305317,346520,329724,393929,389477,378700,487947,496481,376997,321432,85,91,78,82,76,85,78,84,85,82,103,100,78,69,0.361153582910539,0.741307988759534,0.517074757612253,0.00191239003757284,0.00121819883123532,0.00258785188604791,0.00159487200560712,-0.000694191206337515,-0.000992979880440795,-0.238348420796724,-0.334484243232047,"",,
1228,Production and operations managers in health and social work,75321,72852,85201,56670,60887,105469,242359,195782,219737,341646,271712,330477,367207,286320,20,16,20,12,15,23,59,47,54,77,60,67,72,67,0.286594628325692,0.642769102797444,0.483075589968836,0.000449974126487727,0.00118288872018503,0.000559822597755233,0.00142065429902882,0.000732914593697298,0.000860831701273582,0.251105758535912,0.292640864402809,"",,
1229,Production and operations managers not elsewhere classified,1203927,1216766,1444905,1148080,1624842,1492556,1710111,1555409,1691876,1706817,1869395,1734946,1556954,1337995,235,254,287,239,312,280,313,278,302,280,287,283,262,234,0.287320274980566,0.673034650307841,0.504504404817358,0.00528719598623079,0.00413128299288501,0.00894817568337734,0.00663882491208808,-0.00115591299334578,-0.00230935077128926,-0.384439424706938,-0.679764997141841,"",,
1231,Finance and administration managers,1877054,1778699,1614672,1781635,2098335,1999992,1743694,1593275,1750037,1879339,1752468,1707221,1691954,1615461,302,296,288,284,315,318,247,231,243,246,230,224,202,203,0.466493269697804,0.695146058354396,0.4360563381539,0.00679460930996468,0.00358397627160537,0.013951185544627,0.00801554768986934,-0.0032106330383593,-0.00593563785475768,-0.843589352284542,-1.12217650073316,Management and sales,0.46,0.83
1232,Personnel and industrial relations managers,201816,195898,257719,298241,359388,375235,334891,272009,323785,265820,432059,381257,318810,243954,36,37,48,51,68,64,56,51,61,46,63,56,49,41,0.425785014634204,0.717173891482412,0.468717805459302,0.000809953427677909,0.000723857276531135,0.00149999545131597,0.00121044390494997,-8.60961511467738e-05,-0.000289551546365999,-0.0301245370430779,-0.100998218699569,"",,
1233,Sales and marketing managers,1989557,2389937,2446400,3094583,3767091,4128307,3310811,3261523,3200721,4139609,3591105,3435767,3148516,2590265,328,390,406,504,572,597,483,483,448,560,477,469,437,376,0.443701713948204,0.742038578664059,0.475960449857929,0.00737957567439872,0.00663830087745626,0.0147873629946776,0.0128523019973242,-0.000741274796942463,-0.00193506099735333,-0.253849235278993,-0.59530841804983,Management and sales,0.46,0.83
1234,Advertising and public relations managers,116919,103180,135027,159041,84129,172013,174612,259786,155693,253906,203813,315383,197058,145032,21,16,21,27,16,26,26,35,26,30,24,35,25,16,0.297988557958935,0.671707669547896,0.497955700244141,0.000472472832812113,0.000282480888402394,0.000868999326973143,0.000719615584998419,-0.000189991944409719,-0.000149383741974725,-0.0663994256946109,-0.0522367453636588,"",,
